wl,f198,f207,f464,f465,f441,f442,f423,f420,f413,f406,f397,f395,f394,f393,f384,f367,f366,f354,f347,f342,f334,f328,f330,f305,f240,f212,f252,f274,f299,f284,m32m,m214,m203,m187,m175,m112,m78m,m452,m455,m440,m425,m412,m411,m409,m407,m404,m359,m357,m326,m320,m315,m308,m304,m265,m262,m250,m232,m231,m223,m215
615.52,57.915,59.16,65.244,56.687,60.23,63.958,58.041,57.48,62.58,63.591,61.348,57.033,63.351,61.088,60.37,58.817,61.897,59.112,60.304,51.924,60.244,56.129,60.408,50.879,59.814,59.622,60.431,59.511,58.996,52.422,66.233,66.508,68.949,67.906,66.415,67.676,67.451,66.271,66.453,65.237,67.923,68.559,68.245,69.966,69.135,67.539,67.555,68.964,68.479,67.52,69.617,67.631,69.535,67.099,70.292,67.972,67.435,66.493,69.546,67.924
615.71,57.914,59.156,65.257,56.705,60.258,63.944,58.044,57.51,62.569,63.594,61.327,57.061,63.392,61.101,60.346,58.831,61.899,59.119,60.368,51.911,60.241,56.153,60.418,50.87,59.82,59.651,60.423,59.491,59.007,52.438,66.207,66.48,68.941,67.9,66.372,67.661,67.465,66.317,66.437,65.252,67.962,68.554,68.261,69.94,69.136,67.565,67.547,68.96,68.47,67.517,69.631,67.632,69.541,67.144,70.288,67.96,67.438,66.523,69.544,67.936
615.9,57.916,59.159,65.264,56.713,60.223,63.949,58.079,57.553,62.536,63.602,61.293,57.058,63.37,61.102,60.346,58.831,61.913,59.111,60.391,51.918,60.254,56.153,60.384,50.9,59.819,59.642,60.447,59.477,58.997,52.472,66.24,66.514,68.936,67.916,66.348,67.684,67.489,66.339,66.463,65.226,67.919,68.562,68.273,69.965,69.157,67.591,67.529,69.007,68.486,67.535,69.654,67.609,69.541,67.142,70.303,67.958,67.418,66.528,69.556,67.978
616.09,57.909,59.166,65.275,56.674,60.227,63.966,58.088,57.566,62.536,63.586,61.276,57.052,63.388,61.14,60.352,58.804,61.914,59.132,60.382,51.924,60.276,56.13,60.379,50.918,59.813,59.662,60.447,59.484,58.97,52.49,66.229,66.518,68.915,67.899,66.341,67.678,67.498,66.361,66.456,65.225,67.952,68.562,68.265,69.96,69.168,67.579,67.532,69.042,68.485,67.566,69.664,67.618,69.515,67.134,70.331,67.945,67.366,66.503,69.543,67.983
616.28,57.868,59.171,65.285,56.668,60.238,63.961,58.111,57.583,62.526,63.588,61.252,57.077,63.373,61.157,60.327,58.822,61.937,59.124,60.361,51.924,60.234,56.132,60.362,50.918,59.817,59.681,60.488,59.476,58.957,52.492,66.203,66.501,68.893,67.879,66.337,67.662,67.516,66.348,66.436,65.23,67.937,68.557,68.249,69.95,69.179,67.558,67.512,69.052,68.48,67.594,69.701,67.615,69.523,67.12,70.303,67.94,67.35,66.487,69.534,67.99
616.47,57.828,59.135,65.259,56.658,60.278,63.975,58.127,57.597,62.525,63.605,61.249,57.051,63.396,61.18,60.302,58.826,61.931,59.124,60.372,51.917,60.239,56.124,60.384,50.89,59.8,59.673,60.541,59.489,58.955,52.512,66.199,66.498,68.898,67.924,66.331,67.688,67.535,66.351,66.433,65.233,67.903,68.587,68.235,69.913,69.17,67.575,67.502,69.039,68.472,67.584,69.69,67.608,69.525,67.159,70.289,67.912,67.336,66.474,69.502,68.019
616.66,57.832,59.165,65.262,56.662,60.315,63.98,58.161,57.591,62.545,63.62,61.267,57.05,63.379,61.164,60.299,58.771,61.916,59.115,60.35,51.87,60.221,56.119,60.372,50.872,59.797,59.637,60.562,59.49,58.895,52.493,66.22,66.494,68.935,67.924,66.383,67.686,67.538,66.331,66.43,65.244,67.93,68.603,68.208,69.929,69.179,67.557,67.539,69.027,68.448,67.6,69.716,67.615,69.507,67.16,70.304,67.932,67.3,66.462,69.471,68.049
616.85,57.821,59.168,65.264,56.68,60.332,63.981,58.171,57.637,62.552,63.644,61.268,57.039,63.384,61.164,60.272,58.79,61.935,59.1,60.349,51.876,60.224,56.105,60.377,50.85,59.791,59.626,60.521,59.496,58.857,52.491,66.19,66.47,68.893,67.904,66.348,67.665,67.544,66.357,66.426,65.232,67.931,68.612,68.245,69.953,69.189,67.575,67.531,69.043,68.459,67.605,69.714,67.618,69.481,67.149,70.279,67.936,67.269,66.459,69.473,68.051
617.04,57.817,59.179,65.264,56.692,60.331,63.998,58.155,57.651,62.542,63.627,61.273,57.057,63.375,61.167,60.248,58.77,61.927,59.136,60.336,51.855,60.241,56.095,60.367,50.84,59.759,59.67,60.502,59.481,58.847,52.492,66.197,66.45,68.888,67.892,66.37,67.673,67.577,66.335,66.412,65.214,67.949,68.628,68.255,69.973,69.192,67.608,67.529,69.045,68.417,67.588,69.724,67.625,69.478,67.139,70.264,67.934,67.261,66.452,69.484,68.054
617.23,57.822,59.181,65.271,56.672,60.275,63.998,58.172,57.654,62.54,63.624,61.286,57.103,63.369,61.171,60.217,58.791,61.964,59.138,60.35,51.853,60.241,56.073,60.4,50.824,59.81,59.658,60.477,59.484,58.829,52.481,66.2,66.459,68.877,67.889,66.399,67.66,67.556,66.296,66.371,65.216,67.982,68.644,68.264,69.991,69.191,67.615,67.541,69.018,68.434,67.569,69.708,67.626,69.495,67.156,70.276,67.974,67.246,66.425,69.489,68.076
617.42,57.815,59.144,65.242,56.679,60.274,63.989,58.194,57.657,62.506,63.627,61.279,57.112,63.365,61.192,60.21,58.833,61.947,59.152,60.313,51.866,60.264,56.026,60.386,50.836,59.795,59.677,60.452,59.49,58.772,52.479,66.19,66.46,68.885,67.901,66.405,67.654,67.541,66.288,66.426,65.235,68.027,68.662,68.29,69.978,69.17,67.608,67.544,69.014,68.425,67.568,69.7,67.635,69.478,67.14,70.306,67.957,67.209,66.406,69.485,68.08
617.61,57.81,59.142,65.256,56.69,60.302,63.967,58.202,57.674,62.513,63.614,61.266,57.083,63.365,61.186,60.22,58.804,61.961,59.146,60.332,51.856,60.275,56.007,60.406,50.837,59.797,59.708,60.45,59.462,58.739,52.485,66.228,66.474,68.871,67.885,66.415,67.65,67.524,66.298,66.457,65.276,68.049,68.637,68.251,69.993,69.238,67.613,67.559,68.998,68.397,67.584,69.718,67.637,69.463,67.185,70.305,67.956,67.189,66.424,69.456,68.112
