wl,f198,f207,f464,f465,f441,f442,f423,f420,f413,f406,f397,f395,f394,f393,f384,f367,f366,f354,f347,f342,f334,f328,f330,f305,f240,f212,f252,f274,f299,f284,m32m,m214,m203,m187,m175,m112,m78m,m452,m455,m440,m425,m412,m411,m409,m407,m404,m359,m357,m326,m320,m315,m308,m304,m265,m262,m250,m232,m231,m223,m215
179.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180.37,312.821,16.239,281.818,16.346,-64.151,106.452,-40,44.118,0,202.5,29.73,35.065,174.074,307.407,-113.636,41.429,-1860,162.5,260,91.837,131.522,55.967,146.552,1450,56.701,-131.429,83.333,-8.491,-1350,24.742,76.923,139.623,86.034,243.902,54,7.895,148.571,-900,60,-29.703,-162,-637.5,64.615,4,-352.941,21.912,100,39.583,-10.924,-900,97.959,76.596,162.162,-73.077,237.5,205.714,5900,78.571,150.588,-1150
180.59,-92.453,200,-1800,-44.643,-119.643,106.667,-200,-17.308,44.318,180,45.455,-25.843,-56.522,-164.286,4450,-458.333,58.182,11.667,11.594,293.151,-23.457,104.348,-300,90.625,105.797,22.5,2533.333,50.943,313.333,906.25,8100,45.455,93.023,49.153,-325,875,177.551,140.678,371.429,-618.75,52.5,156.604,-84.375,353.333,163.158,-47.692,36.17,17.582,69.412,-38.095,-77.049,313.333,690.909,0,26.531,2.326,10.924,120,-124.49,400
180.8,119.853,-173.077,2750,476.923,-700,83.019,-143.243,-21.053,316.393,231.915,252.727,16.279,-157.143,10.714,11100,53.757,93.182,-280.952,165.217,133.333,-72.059,148,284.483,200,63.014,-6.667,73.118,516.667,-116.327,96.97,112.963,45,213.636,89.091,-15.493,42.424,23.077,120.455,162.5,177.273,-56.364,718.182,400,-212.121,-163.333,56.716,35.354,319.118,310.811,-1171.429,145.299,95.652,-169.444,584.615,-270,-52.212,66.351,-200,121.858,165.714
181.01,86.667,-28.571,160,-56.25,83.636,134.286,7.143,18.681,-181.395,-583.333,57.754,-28.814,53.797,117.778,18.085,152.326,143.548,53.488,88,11.765,-516.667,36.364,72.414,-45.238,560,4.255,45.57,525,25.882,82,29.167,-17.822,-156.818,2566.667,119.626,458.333,-246.429,60.577,10.843,385.714,-181.579,97.183,60.55,-50,100,916.667,-285.714,-600,-24.324,44.545,35.374,-46.154,77.778,83.544,32.558,-466.667,7.216,43.478,45.455,5433.333
181.22,344.118,-144.444,79.487,21.774,28.889,-27.473,-2850,47.059,-450,350,-668.75,69.767,540,114.679,-46.296,45.399,102.532,100,-41.538,46.739,223.077,107.407,-17.568,17.293,-50,100,-206.667,89.247,-48.101,-77.778,26.923,-188.889,-675,31.138,80.435,-32.143,160.465,-71.25,575.758,52.727,100,-38.462,-137.931,86.792,120.93,-5.983,134.532,87.5,266.667,72.678,-64.063,100,-11.594,51.429,104,178.75,-1687.5,21.277,29.412,167.308
181.43,90.909,225,-135.714,200,6.667,-235.294,-275,65.517,18.605,225.882,21.233,12200,600,81.609,110.667,-193.333,42.857,555.556,208.75,-92,163.043,-343.75,-72.727,241.026,45.324,70.339,-257.895,175.325,78.431,-68.116,1000,12.5,1450,168,-1900,121.951,20.87,139.394,-33.333,275.49,-82.692,-67.647,733.333,63.85,300,-166.667,-74.286,21.154,-41.558,123.077,-144.898,10.909,0,45.946,230.769,154.867,-7.018,28.947,94.828,-347.059
181.64,866.667,-3.704,11.538,-37.086,106.364,-9.494,159.016,-26.136,-195,157.377,12.598,550,14.634,387.5,-1185.714,35.057,492.593,26.667,-135.714,115.789,1.961,168.293,101.754,2.299,102.128,58.491,80.392,-340,-2300,-130.769,176.087,95.876,110,112.698,-12.632,-174.157,39.726,300,-91.304,-12.5,117.526,-11.864,19.863,-59.524,3.731,-48.98,27.273,78.862,204,146.552,1123.529,7.339,16.364,185.417,-1133.333,33.333,184,46.154,42.857,109.091
181.86,21.393,-284.848,237.838,500,115.328,-13.043,-145.455,47.541,252.778,330,-844.444,250.794,71.053,108.861,13.253,-97.222,44,447.059,58.824,21.951,107.317,-23.256,6.4,51.111,-240,-1175,-68.519,-32.847,-90.476,-76.19,-14.458,-134.211,-66.667,-19.149,86.364,388.889,1.25,-503.333,-104.545,12.338,-351.282,86.607,125.758,119.048,-80.645,-300,110.526,7.692,58.442,68.613,-514.286,1125,50,123.529,375,165.714,104.11,112.5,38.182,111.278
182.07,108.929,-96.774,-200,-76.786,270,92.453,153.333,12.329,-27.957,-194.444,212.195,-393.333,1050,-90.909,47.368,-72.5,100,25.806,136.667,36.364,50.98,407.143,43.86,-72.527,178.495,153.846,166.055,-35.897,450,25,125.424,25,5300,-20.408,40,226.667,112.397,71.642,177.358,91.589,0,12.5,19.868,48.462,52.778,18.605,-1785.714,-230,21.569,-14.894,103.614,-445.455,57.813,81.319,411.765,300,119.318,115.152,147.253,117.544
182.28,-135.294,81.731,30.579,182.292,-71.795,500,203.226,-50,258.824,4.762,-59.184,148.387,263.158,-96.226,-9000,22.353,85.906,85.714,29.167,88.71,-129.167,37.379,117.143,0,-187.879,-100.909,5.147,-616.667,240,-8.571,43.077,-2433.333,38.614,-503.03,-106.25,537.5,-14.286,-1260,88.095,-292.308,51.852,54.167,75,51.136,9.302,205.263,-5.97,-23.889,100,22.222,-276.923,-825,-340,496.296,552.381,0,44.66,-62.963,-102.381,-107.865
182.49,-29.412,-100,980,137.879,88.889,39.881,-198.361,148.077,-28.571,500,817.647,35.106,22.222,84.426,162.745,141.892,260,1728.571,153.333,31.606,100,129.787,-109.231,44.262,-177.5,168.75,-6.667,33.588,-327.778,-163.636,-184.211,147.368,24,142.857,213.333,139.252,-66.667,124.138,49.057,140.625,20,22.105,-94.828,30.769,66.871,-33.333,106.723,-461.905,-125,0,-107.317,8.602,126.19,-500,425,-245.455,77.586,46.875,-12,83.333
182.7,103.704,200,537.037,15.385,1300,18.75,-39.583,-268,1500,191.549,147.059,44.444,50.847,-77.778,-35.802,291.667,9.677,-10.345,132.911,-51.064,632.258,-125.806,91.803,63.265,-37.5,-100,8.571,87.755,125.21,123.864,616.667,76.563,92.308,28.696,400,9.804,-339.394,-229.167,36.471,-2975,32.632,82.667,-31.25,189.431,1800,79.167,0,8.658,-592.857,-74.359,183.077,-6,40.458,-36.364,52.381,144.444,-8.219,102.5,4.95,269.355
182.91,-13.492,145.161,47.826,-104.255,181.522,-680,77.07,82.609,-323.077,167.033,256.25,-400,68.293,46.018,319.231,225.532,83.333,243.396,-28.261,182.857,37.5,0,133.333,170,55.629,2.041,1320,485.714,54.412,-6.452,-1000,24.742,-109.091,70.588,16.667,8.197,242.857,-43.478,148.649,255.172,133.333,16.176,344.444,423.077,7.018,65.306,-416.667,-366.667,-4.878,38.961,6200,348.148,-65.094,182.258,-6.061,-22.581,41.379,220,500,-48.148
183.13,34.884,63.265,122.222,102.128,-60.169,-46.809,262.5,101.923,118.182,24.719,-69.231,-1025,53.947,59.091,101.504,-85.714,471.429,48.214,-722.222,110,6100,43.575,155.556,100,68.421,2.857,32.184,-2325,-7.5,39.394,-114.894,-3150,73.404,96.364,-137.209,-47.059,97.222,6.897,-153.968,-396.154,545.455,130,177.273,38.372,9.375,36.923,135.955,-238.462,215.789,32.121,-1.538,24.658,-18.182,111.111,117.333,33.557,93.103,-351.613,-907.692,-92.308
183.34,95.604,21.053,44.444,88.732,-425,139.13,-104.95,138.667,-39.13,142.857,83.333,-0.833,60.294,-600,-50.746,122.078,53.543,60.839,-42.308,-96.774,156.41,0,-42.308,-1533.333,17.857,822.222,-5.714,10.345,96.471,108.333,-48.387,145.833,11.458,105.714,-63.636,13.636,37.5,-106.25,-48.551,139.655,50,1500,-109.524,44.275,112.821,-56.25,375,461.111,186.842,38.462,-136.232,43.396,111.392,-138.636,73.529,-644.444,66.667,-7.971,14.103,-392.308
183.55,43.75,120,199.145,-258.333,33.929,6.122,-45.455,-93.617,900,131.25,55.357,88.393,60,23.684,31.016,169.565,202.381,300,762.5,-500,75.54,-6.383,124.615,195.238,8.696,47.778,174.684,117.742,-660,6.944,-40.789,61.538,179.687,-281.081,15.385,95.588,12.102,100.521,-34.375,24.503,155.914,44.628,25.676,-114.894,109.231,73.333,-47.059,850,-114.815,410,35.874,-37.705,22.086,-19.78,13.765,32.258,235.294,-833.333,73.171,44.944
183.76,-96.774,52.206,371.429,248.485,-183.333,96.33,-26.271,41.353,136.364,63.057,85.714,-238.889,37.267,83.951,43.59,29.091,140.506,-33.333,-79.31,49.618,55.738,51.282,66.667,177.778,257.143,77.778,35.047,71.429,-68.966,5300,6.731,-133.333,-32.895,29.897,397.778,-12.5,-16.867,-283.784,102.959,-175.862,119.565,22.124,108.333,44.776,-1284.615,67.778,204.082,37.931,-25,-306.897,67.188,25.275,-195.238,-6800,37.037,-585.714,17.105,92,-562.5,73.009
183.97,42.612,7.038,39.608,43.13,-88.372,1.905,12.589,-3.93,-6.466,-13.27,23.84,2.306,97.883,-295.652,-9.734,3.224,55.704,37.718,3.541,-29.684,43.62,21.36,11.944,66.006,15.223,20.992,52.5,102.789,34.328,44.643,54.15,54.502,11.91,11.804,-9.707,44.234,17.502,0.797,60.297,64.097,21.231,69.909,23.744,283.333,27.091,-30.705,56.749,-21.177,-7.245,45.042,65.421,34.181,-31.105,28.276,-117.085,13.829,-5.963,70.752,305.849,162.235
184.18,46.468,0.727,36.343,48.28,-56.516,0.377,-2.706,-2.595,-20.86,-9.234,20.742,2.89,95.906,-14.872,-5.564,0.899,66.095,49.624,2.744,-48.251,43.622,7.24,18.713,52.038,18.731,25.271,47.465,100.504,37.795,35.97,55.109,59.263,11.342,14.91,-6.672,45.927,8.696,4.362,61.414,64.522,21.057,63.062,16.478,52.83,29.324,-25.203,51.228,-27.024,3.961,48.262,56.419,33.951,-18.265,24.543,-107.057,14.139,9.149,66.997,308.132,168.469
184.4,37.757,2.106,37.034,49.889,-32.214,6.321,-6.104,4.078,-21.396,-20.58,15.765,3.685,96.787,-13.636,-5.289,8.115,71.758,48.992,16.939,-65.699,41.263,11.025,27.666,60.463,21.997,24.464,53.04,89.076,36.838,34.916,52.516,51.418,15.034,12.649,-10.37,45.406,12.78,12.389,58.555,54.772,22.572,57.192,12.113,18.182,23.866,-20.246,49.819,-24.112,-3.044,52.075,54.686,30.085,-26.044,18.657,-88.286,2.57,0.112,62.322,291.792,175.353
184.61,37.925,2.893,31.221,49.167,-28.664,-7.895,-16.35,6.871,-22.712,-9.946,8.567,1.705,90.631,25.195,2.237,14.003,72.596,46.763,16.06,-76.558,38.056,-7.186,37.461,60.906,17.356,22.992,58.812,85.549,39.638,32.208,48.799,39.61,12.492,12.8,-13.59,46.205,9.487,9.167,67.63,46.359,29.705,57.576,14.218,27.5,23.208,-7.456,57.206,-21.12,-0.829,49.208,45.146,32.574,-24.895,23.444,-89.446,-8.915,10.054,63.703,274.521,171.392
184.82,39.636,8.794,30.412,37.014,-24.33,-10.444,4.712,8.288,-23.117,0.382,13.893,10.773,95.06,44.802,7.126,14.062,69.31,44.354,12.374,-63.703,30.487,6.691,32.67,49.829,18.383,17.421,55.817,70.224,40.662,34.227,52.335,21.79,21.822,9.721,-3.496,47.568,5.849,21.839,71.64,43.936,26.839,60.425,16.825,8.894,21.724,-9.584,57.464,-30.795,-4.892,54.286,50.622,36.404,-20.741,27.677,-105.731,-23.605,18.04,61.048,264.695,162.729
185.03,34.968,11.325,47.85,28.065,-23.577,-13.312,18.372,0.454,-32.692,-0.377,16.082,15,91.885,38.415,6.131,14.679,67.577,40.882,3.601,-30.975,25.697,13.802,25.091,50.587,28.872,13.551,63.085,65.657,34.607,28.781,44.585,14.091,26.224,13.764,-2.85,51.278,-2.336,8.547,67.803,34.386,18.644,58.447,17.064,9.685,26.87,-5.72,57.869,-30.588,-1.147,55.056,57.212,42.583,-17.298,26.09,-52.637,-25.12,23.03,58.228,229.296,159.035
185.24,44.414,15.505,54.358,23.521,-5.675,-15.686,24.069,-4.396,-25.508,13.58,14.419,16.075,87.001,40.602,14.668,6.132,72.499,46.114,-5.673,-44.54,32.495,20.447,13.016,46.646,26.453,19.201,70.321,64.784,34.524,26.504,47.228,16.553,22.356,15.997,-0.907,45.552,-9.31,26.978,63.472,38.379,25.837,50.593,24.109,12.984,35.21,5.718,50.795,-27.017,3.969,66.208,78.547,30.769,-7.5,25.931,-49.95,-32.882,39.457,60.187,236.387,167.51
185.45,49.212,15.385,54.291,27.412,-1.114,-11.695,21.779,3.605,-25.865,14.096,7.666,16.639,81.131,42.576,14.742,29.237,66.78,47.113,-14.359,-45.876,35.065,17.976,15.825,44.611,25.626,17.553,65.511,51.677,39.327,28.725,45.106,20.608,36.064,23.55,15.841,38.678,-12.556,12.849,58.253,32.838,11.226,50.297,28.273,20.768,36.583,6.28,56.817,-34.522,3.812,68.301,69.767,32.73,-5.268,25.875,-42.199,-16.667,42.19,67.154,254.497,153.765
185.66,45.636,20.952,48.997,33.863,-4.86,-11.993,29.595,1.736,-15.602,26.856,0.387,26.624,84.084,43.445,14.415,30.097,59.751,48.982,-5.71,-44.716,37.033,16.129,14.102,39.526,21.353,12.458,59.158,48.766,40.382,21.844,41.809,9.869,35.556,21.217,10.96,33.149,2.986,-1.318,49.237,32.749,9.643,57.763,28.466,20.592,40.217,10.986,65.995,-26.782,9.471,65.908,69.433,39.013,-5.889,17.647,-31.879,-9.969,34.393,63.927,245.47,150.469
185.88,39.001,20.091,56.472,32.477,8.154,-9.624,31.664,-0.183,-13.203,12.231,10.13,22.011,83.191,31.028,16.667,34.277,65.417,48.095,-12,-39.688,31.002,26.103,14.799,36.013,33.813,12.201,50.877,52.425,37.386,14.547,33.931,12.801,27.409,20.906,12.829,32.216,14.307,19.018,55.231,44.94,11.134,58.553,32.708,22.162,42.389,6.938,62.204,-32.059,0.589,65.054,63.402,33.444,-1.477,13.657,-34.99,0.074,27.996,64.911,274.455,142.762
186.09,43.495,29.169,49.917,30.079,14.08,-4.526,29.81,-10.308,-24.16,20.702,1.362,20.441,86.589,35.242,20.532,32.666,71.283,42.816,-14.077,-51.893,32.621,34.258,20.96,36.604,23.592,14.71,42.945,57.271,32.412,23.211,27.643,21.899,22.132,12.972,12.103,24.023,16.497,20.857,49.212,43.89,19.568,71.421,21.423,20.45,44.474,10.367,60.861,-15.811,-13.205,64.402,80.318,34.565,-0.718,-2.445,-22.78,12.611,28.072,67.475,301.654,144.834
186.3,41.828,30.971,56.177,26.384,25.049,4.636,18.581,-2.949,-23.873,28.292,3.859,28.846,89.571,33.99,18.832,36.275,69.892,51.311,-4.231,-42.105,25.826,32.686,17.973,30.323,27.558,15.115,40.239,53.25,28.872,29.503,32.504,17.975,24.359,14.729,21.974,21.829,17.772,-0.872,53.987,42.692,26.76,76.589,15.267,19.341,48.205,6.757,57.605,-27.533,-11.019,61.381,83.397,42.6,-4.282,-1.241,-9.829,5.651,30.961,61.84,265.242,145.473
186.51,36.212,33.946,51.013,28.777,22.943,-7.995,21.403,1.127,-25.353,28.957,8.53,28.181,84.189,42.266,14.015,47.101,68.29,48.206,-8.857,-38.858,23.11,39.964,19.587,40.526,13.737,19.489,34.7,56.017,32.017,33.517,32.437,12.384,37.152,7.223,25.868,17.067,22.376,2.759,48.91,37.616,17.005,75.58,16.422,26.84,46.627,14.322,50.596,-24.124,-7.641,58.089,79.439,43.309,-4.4,5.422,-8.212,-0.061,37.962,59.212,293.126,145.802
186.72,39.832,19.678,52.819,15.562,23.309,-9.951,-0.287,-2.51,-31.09,32.422,9.409,33.607,79.907,38.172,18.348,44.339,64.887,47.847,-7.04,-27.584,27.254,33.951,20.444,39.031,0.972,22.791,37.486,57.88,25.858,32.898,30.689,11.478,35.857,11.965,22.587,17.546,24.328,-0.721,43.954,38.199,25.118,70.781,17.268,30.455,48.98,16.034,50.544,-21.636,-4.663,57.957,76.147,46.086,-7.056,11.902,-0.569,-12.995,34.169,63.475,273.9,136.664
186.93,40.705,17.802,60.119,5.727,28.558,-29.463,17.697,-14.036,-18.68,36.727,1.964,39.668,75.844,43.969,20.59,48.677,64.205,45.007,-4.58,-12.107,22.069,40.995,30.182,39.642,-4.225,25.597,39.442,57.977,23.221,33.178,28.786,12.957,38.38,14.304,18.813,15.564,25.965,-0.851,47.995,40.801,20.545,75.606,21.601,27.801,49.35,15.024,49.363,-5.72,-5.272,59.918,70.357,50.216,-4.255,18.529,10.878,-8.13,35.187,63.896,240.472,138.121
187.14,44.176,18.854,52.178,8.473,32.843,-43.574,13.294,-17.402,-9.491,30.95,3.837,42.692,72.685,40.475,23.781,51.592,57.668,52.605,7.833,-2.057,29.492,39.617,35.444,37.22,3.98,30.952,37.462,60.436,18.791,28.81,31.565,7.965,42.584,15.445,20.358,17.165,38.08,18.219,50.709,31.776,27.67,80.231,18.132,36.225,46.327,15.036,47.645,-11.832,12.324,53.306,61.212,51.948,-6.115,23.634,9.505,-16.375,40.461,62.176,225.695,131.19
187.36,39.299,25.027,49.131,3.83,40.214,-46.859,21.305,-3.848,-2.265,18.461,5.784,44.201,70.127,39.135,37.647,47.306,58.935,49.282,9.485,5.556,28.707,29.21,34.387,18.182,11.482,28.651,39.354,62.818,21.679,35.078,36.259,8.785,55.633,9.599,17.321,20.958,33.748,19.373,56.303,33.121,28.549,71.15,9.361,35.42,45.121,10.01,44.053,-14.388,18.656,56.833,71.909,49.572,-0.222,17.125,1.786,-10.507,39.018,62.493,205.096,125.465
187.57,38.388,24.889,47.249,-1.868,49.04,-48.053,18.158,3.634,9.262,8.554,7.506,41.961,69.387,42.11,32.56,43.873,55.533,49.669,13.054,-0.281,22.995,28.719,31.163,23.049,19.019,28.763,39.939,51.443,19.191,35.209,29.144,9.101,47.013,9.608,22.009,15.784,34.368,14.05,53.129,38.926,37.019,73.011,3.241,38.082,44.189,7.964,39.497,-12.534,6.034,59.739,71.576,44.17,0.752,23.412,-7.924,-9.462,40.967,56.399,190.107,118.204
187.78,41.047,28.971,49.811,3.519,49.371,-45.784,3.075,-4.093,14.894,24.672,2.935,42.987,68.898,49.683,35.844,43.057,55.769,48.897,17.156,-1.096,19.928,30.787,29.336,25.431,18.919,24.006,38.292,55.295,21.756,39.112,25.135,19.904,51.036,4.211,25.928,19.094,37.254,18.731,65.633,36.048,44.202,71.278,3.654,34.095,46.298,2.2,35.673,-12.5,-10.32,59.924,67.493,44.824,1.361,29.014,-6.54,-4.552,35.378,54.892,176.585,125.626
187.99,42.018,24.251,49.178,7.71,46.363,-34.701,4.685,-0.308,19.453,28.896,-1.341,42.005,65.248,46.797,35.524,45.262,45.109,47.846,18.056,1.625,19.019,30.94,30.969,29.199,20.788,19.226,28.814,47.828,39.409,35.745,28.093,15.467,59.713,10.762,27.4,20.642,38.654,-3.145,69.28,34.081,41.35,65.758,-1.804,34.287,44.632,3.507,39.768,-11.467,-14.362,58.904,73.618,40.796,-3.061,34.149,-5.703,-4.556,42.379,63.085,165.102,126.596
188.2,45.944,25.717,53.243,-1.916,54.424,-32.37,4.722,-6.865,11.647,25.769,-4.161,43.878,65.46,50.669,27.586,47.471,46.418,48.463,20.023,-1.977,17.454,26.912,26.687,22.912,22.045,18.17,25.457,45.619,46.503,41.075,23.965,17.109,51.044,13.44,38.279,22.54,40.624,-4.942,68.556,32.706,38.889,66.133,-11.654,35.247,39.831,1.507,33.099,-10.216,-16.679,64.662,73.394,46.348,7.467,26.963,-23.02,-0.979,44.204,58.465,160.407,133.377
188.41,45.605,19.137,54.942,-3.792,48.268,-41.327,-9.085,6.08,4.987,23.017,-3.482,43.95,59.796,55.027,20.228,37.422,41.57,47.46,17.311,-12.296,12.442,26.513,29.276,19.334,13.623,20.165,14.11,48.925,53.272,40.652,16.832,11.856,55.945,19.076,33.21,25.657,42.958,-7.692,77.752,30.757,38.504,60.144,-10.857,40.2,43.469,-0.116,27.962,-1.483,-7.158,59.821,77.528,42.721,5.299,18.645,-10.98,0.36,37.238,62.909,165.806,130.15
188.62,46.416,9.932,54.326,-7.529,50.926,-44.403,-9.202,-2.419,3.177,30.562,2.476,46.843,58.082,45.259,26.613,38.306,42.025,51.228,15.005,-31.733,15.553,31.437,28.653,22.322,10.477,18.12,18.344,46.512,50.288,44.538,21.659,8.573,60.799,6.933,34.603,26.815,42.822,8.845,72.949,34.72,38.393,61.875,-12.127,47.14,46.868,7.692,26.848,-15.251,-16.778,56.726,77.287,46.749,8.079,15.724,-11.44,4.804,39.556,71.158,160.381,125.788
188.84,44.569,10.872,50.333,-7.01,52.445,-48.267,-0.659,-0.538,-0.689,30.646,-1.113,51.385,57.331,44.187,30.033,40.375,45.278,58.237,10.345,-28.836,21.68,23.039,28.593,17.279,7.66,19.077,36.839,44.881,52.414,38.556,17.471,10.256,58.318,9.654,25.954,26.323,42.555,19.089,81.674,23.977,41.265,57.169,-17.47,52.442,40.77,4.815,20.558,-12.16,-11.285,57.196,76.341,49.152,9.237,10.202,2.211,5.974,34.126,70.323,157.56,128.608
189.05,42.799,23.918,55.242,-10.285,54.008,-47.218,-0.408,10.277,6.481,22.654,-1.356,58.298,61.111,42.916,25.11,39.813,46.139,59.905,7.278,-23.813,19.295,16.609,30.169,22.727,11.263,21.952,47.49,46.249,62.171,36.743,17.022,17.54,56.201,13.197,22.779,25.419,44.563,17.411,91.99,27.18,39.875,57.443,-16.044,47.327,39.646,-4.003,27.552,-15.73,6.872,50.594,75.709,54.037,0.846,20.833,-7.143,8.105,26.21,73.617,160.343,123.37
189.26,50.212,21.635,60.719,-9.653,55.783,-37.145,-15.704,9.165,-0.66,25.015,4.917,55.899,69.992,36.563,27.541,45.337,41.04,57.2,17.508,-18.976,15.355,16.406,29.073,23.899,9.332,21.978,41.559,43.747,67.083,45.877,25.718,18.724,56.999,-2.014,21.014,24.992,46.834,34.579,84.644,25.079,46.984,60.164,-9.471,48.646,40.229,-6.881,24.734,-17.117,13.125,50.433,69.589,57.768,1.147,18.41,-17.329,3.327,35.047,78.062,154.27,130.419
189.47,50.757,27.735,61.647,-9.445,53.734,-28.949,-11.058,9.862,-8.455,23.749,8.124,50.434,69.243,33.988,33.827,53.565,42.907,49.663,12.26,-33.63,14.563,21.868,26.952,27.696,14.665,25.019,38.518,38.237,73.201,47.374,23.174,12.398,61.688,-1.613,16.651,28.277,43.103,33.693,75.562,29.609,49.701,63.431,-2.403,45.651,36.915,5.098,27.091,-13.655,1.24,50.495,78.72,57.282,2.302,21.737,-6.402,5.301,40.96,77.382,148.19,129.887
189.68,52.108,32.411,69.068,-2.684,51.036,-12.75,-4.829,10.922,-3.302,28.074,3.629,51.089,64.492,42.995,39.427,50.679,43.25,50.812,10.498,-21.52,20.746,-2.138,28.676,28.168,19.224,23.086,43.839,38.771,75.869,40.862,21.694,16.11,60.261,-9.263,22.233,33.999,48.045,30.551,77.521,25,55.109,55.785,-1.531,42.665,42.863,2.697,26.496,-13.011,9.561,52.581,69.101,58.717,7.839,23.092,-1.132,6.289,41.675,82.317,143.208,136.527
189.89,57.291,29.503,67.138,6.318,55.15,-15.014,0.943,3.705,-10.49,22.315,9.23,50.928,64.939,40.549,44.475,49.437,38.737,54.886,4.378,-12.353,26.375,7.811,20,27.857,18.794,21.208,52.456,37.062,74.436,38.53,21.803,15.63,61.337,-16.886,25.434,35.285,44.815,32.249,76.945,18.031,51.027,59.166,-2.453,39.23,40.507,9.266,24.635,-5.263,20.162,56.89,68.953,52.987,3.715,16.851,1.752,9.36,41.403,88.469,141.844,143.352
190.1,53.524,38.708,59.182,0,53.481,-2.075,0.244,3.081,-12.481,23.629,4.167,49.617,66.879,43.629,42.898,55.393,33.741,60.755,15.317,-11.009,20.915,9.091,18.844,35.161,18.601,18.158,56.06,34.219,66.809,43.682,19.057,21.936,63.983,-14.163,31.114,35.561,46.409,24.417,88.271,15.913,55.495,64.983,-10.38,49.003,41.248,11.509,21.121,-3.549,20.558,62.73,59.138,51.943,3.453,10.53,-11.493,-1.33,41.62,76.338,134.957,139.972
190.32,55.775,31.341,64.201,-0.197,52.888,-3.049,5.05,-3.086,1.566,30.2,3.337,49.735,65.42,39.677,31.773,66.713,32.115,61.309,20.008,-20.946,26.433,10.398,18.656,35.539,28.679,15.828,61.612,25.326,68.508,53.051,21.213,23.573,64.646,-8.249,32.594,32.736,50.519,35.484,81.943,11.606,68.2,64.693,-6.962,43.006,44.355,15.459,14.931,2.37,25.998,65.924,54.707,45.364,-4.054,6.131,0.354,4.459,50.849,75.08,128.886,138.206
190.53,57.512,30.613,62.662,0.811,45.212,-7.189,-0.29,1.676,-6.229,36.522,10.983,50.183,66.142,36.548,38.914,67.823,33.143,64.809,16.416,-13.179,28.057,7.371,16.878,35.157,34.671,14.869,56.76,26.965,66.894,42.453,19.478,15.432,68.436,0.286,30.181,33.462,50.866,48.024,88.78,8.678,68.053,73.814,-4.464,48.821,44.538,12.005,22.352,3.194,32.1,65.693,60.401,52.664,-0.347,2.91,-19.752,0.096,51.059,75.215,130.41,142.27
190.74,58.821,27.317,56.832,2.096,51.683,-4.601,-4.772,-6.175,-28.06,34.158,14.194,55.006,67.914,37.246,45.572,72.068,29.788,64.276,15.794,-10.937,21.638,3.81,18.909,37.665,28.077,12.077,58.986,18.109,69.837,33.385,14.026,13.925,85.351,-3.288,24.19,33.081,47.56,47.177,89.859,15.81,66.705,69.151,-8.296,45.755,45.048,16.588,26.825,2.719,35.244,66.693,56.009,41.307,1.745,6.26,-17.282,-2.112,47.432,79.172,132.472,145.888
190.95,53.974,27.794,58.87,6.939,50.109,-0.631,-4.592,-12.236,-51.313,40.429,14.499,56.316,72.139,30.471,45.998,66.103,36.566,71.031,21.11,-13.774,11.758,2.178,15.177,32.244,29.727,16.006,56.124,19.699,64.623,43.126,24.34,19.946,89.562,-4.277,27.574,35.061,51.149,37.468,84.649,14.244,55.06,64.227,-7.986,44.048,40.727,21.325,27.148,-5.134,39.082,64.954,60.361,41.383,-1.234,6.609,-20.732,5.489,54.186,68.127,127.917,143.793
191.16,48.89,30.519,61.021,13.912,50.506,-3.798,-3.62,-9.258,-39.919,53.362,0.385,54.115,76.333,28.946,40.92,69.439,36.679,71.84,19.374,-11.43,16.027,-6.995,17.075,34.817,31.276,11.281,59.272,18.977,74.16,39.911,26.187,18.913,100.84,15.479,30.282,39.63,62.166,50.653,89.004,13.469,60.661,68.737,-16.862,34.641,40.243,14.23,27.588,-4.975,30.429,63.772,63.746,36.544,-9.328,5.849,-13.225,8.679,50.575,59.535,127.123,141.105
191.37,48.404,27.516,65.762,18.768,52.491,3.343,0.745,-9.703,-31.531,54.562,2.244,51.574,75.927,31.515,41.063,76.188,41.835,62.224,18.759,-6.053,15.675,-2.514,21.366,38.435,34.778,11.882,57.626,16.391,66.321,47.139,25.318,20.791,106.396,17.241,35.632,35.75,62.463,41.901,94.12,9.172,62.783,63.914,-3.569,32.259,43.026,16.272,28.864,-18.799,25.825,68.299,65.434,36.727,-5.492,2.077,-24.843,-3.708,52.619,79.808,123.201,143.787
